method,baseline_accuracy,compressed_accuracy,accuracy_loss,baseline_same_category,compressed_same_category,same_category_loss,search_time,total_queries
PNG_Lossless,0.9,0.5,0.4,0.6333333333333333,0.3111111111111111,0.3222222222222222,0.0006082057952880859,10
JPEG_Q85,0.9,0.4,0.5,0.6333333333333333,0.28888888888888886,0.34444444444444444,0.0002636909484863281,10
Haar_T5.0,0.9,0.3,0.6000000000000001,0.6333333333333333,0.34444444444444444,0.28888888888888886,0.0004684925079345703,10
DCT_Q50,0.9,0.5,0.4,0.6333333333333333,0.34444444444444444,0.28888888888888886,0.0008521080017089844,10
