image_path,original_size,method,compressed_size,compression_ratio,compression_time,decompression_time,psnr,ssim
mountain-peaks/mountain-peaks_000043.png,104617,PNG_Lossless,357146,0.2929250222598041,0.03371882438659668,0.00016999244689941406,inf,1.0
mountain-peaks/mountain-peaks_000043.png,104617,JPEG_Q85,65457,1.5982553432024076,0.00153350830078125,9.036064147949219e-05,36.919322919912844,0.9978495825311473
mountain-peaks/mountain-peaks_000043.png,104617,Haar_T5.0,2097327,0.04988111057550873,0.13157224655151367,0.33335232734680176,8.628375753647394,0.0
mountain-peaks/mountain-peaks_000043.png,104617,DCT_Q50,1426553,0.07333551575020346,4.7674596309661865,5.800435781478882,28.862489071663532,0.9861233144791646
mountain-peaks/mountain-peaks_000744.png,43487,PNG_Lossless,194328,0.22378144168622124,0.06805968284606934,0.00012946128845214844,inf,1.0
mountain-peaks/mountain-peaks_000744.png,43487,JPEG_Q85,34653,1.254927423311113,0.0009677410125732422,6.437301635742188e-05,39.88097615077565,0.9959261205481378
mountain-peaks/mountain-peaks_000744.png,43487,Haar_T5.0,2097327,0.02073448727833094,0.051167964935302734,0.3036191463470459,16.84274143404983,0.44670427161387827
mountain-peaks/mountain-peaks_000744.png,43487,DCT_Q50,1426553,0.030483970802346636,4.715827226638794,5.753449440002441,31.868100238291085,0.9734607127672776
mountain-peaks/mountain-peaks_000013.png,32931,PNG_Lossless,142079,0.2317795029525827,0.12375760078430176,0.00020503997802734375,inf,1.0
mountain-peaks/mountain-peaks_000013.png,32931,JPEG_Q85,20984,1.5693385436523066,0.0008413791656494141,7.319450378417969e-05,44.995080076879496,0.9986068475253096
mountain-peaks/mountain-peaks_000013.png,32931,Haar_T5.0,2097327,0.015701414228682507,0.012133598327636719,0.03511929512023926,16.707795769037954,0.17659918867770388
mountain-peaks/mountain-peaks_000013.png,32931,DCT_Q50,1426553,0.023084315829835975,4.700716018676758,5.721479654312134,37.13690058579937,0.9914678358845466
mountain-peaks/mountain-peaks_000254.png,67096,PNG_Lossless,276084,0.2430274843888092,0.06836724281311035,0.00012826919555664062,inf,1.0
mountain-peaks/mountain-peaks_000254.png,67096,JPEG_Q85,44200,1.5180090497737557,0.0011394023895263672,7.128715515136719e-05,39.54185927275344,0.9989608315413662
mountain-peaks/mountain-peaks_000254.png,67096,Haar_T5.0,2097327,0.03199119641333945,0.06348633766174316,0.1782839298248291,10.612140277271628,0.3369518438847464
mountain-peaks/mountain-peaks_000254.png,67096,DCT_Q50,1426553,0.047033653849523994,4.680549621582031,5.724696159362793,31.59344744799203,0.9935078825872771
mountain-peaks/mountain-peaks_000997.png,50811,PNG_Lossless,220947,0.2299691781286915,0.07341337203979492,0.0001518726348876953,inf,1.0
mountain-peaks/mountain-peaks_000997.png,50811,JPEG_Q85,35939,1.413812293052116,0.001047372817993164,8.916854858398438e-05,40.05279159187892,0.99886475908042
mountain-peaks/mountain-peaks_000997.png,50811,Haar_T5.0,2097327,0.024226551224487167,0.043961286544799805,0.057537078857421875,10.289133691395252,0.17393083803664616
mountain-peaks/mountain-peaks_000997.png,50811,DCT_Q50,1222784,0.04155353684706375,4.00973916053772,4.965190887451172,31.937888312779165,0.9926278678223142
mountains/mountains_000091.png,54208,PNG_Lossless,107068,0.50629506481862,0.023909807205200195,0.0001392364501953125,inf,1.0
mountains/mountains_000091.png,54208,JPEG_Q85,43780,1.2381909547738694,0.000978231430053711,7.05718994140625e-05,40.7141993593807,0.9996345860391694
mountains/mountains_000091.png,54208,Haar_T5.0,2097327,0.025846231894215827,0.12943625450134277,0.3249540328979492,8.913815767968952,0.5219452703586102
mountains/mountains_000091.png,54208,DCT_Q50,1528442,0.03546618059435687,5.060150384902954,6.14238429069519,32.69285665686504,0.9976809294767015
mountains/mountains_000249.png,180670,PNG_Lossless,635102,0.28447399000475515,0.037969350814819336,0.00014448165893554688,inf,1.0
mountains/mountains_000249.png,180670,JPEG_Q85,126038,1.4334565765880132,0.0024940967559814453,9.822845458984375e-05,34.42015899042877,0.9967431000823335
mountains/mountains_000249.png,180670,Haar_T5.0,2097327,0.08614298104205972,0.08622574806213379,0.14010357856750488,21.34282400759737,0.9270211587678119
mountains/mountains_000249.png,180670,DCT_Q50,2139751,0.08443505809788149,7.0273802280426025,8.630859375,25.16908317696324,0.972483948414772
mountains/mountains_000827.png,61507,PNG_Lossless,220903,0.27843442596976953,0.044629573822021484,0.00010061264038085938,inf,1.0
mountains/mountains_000827.png,61507,JPEG_Q85,43899,1.4011025308093579,0.0011057853698730469,7.176399230957031e-05,38.44183346059157,0.9988155553904301
mountains/mountains_000827.png,61507,Haar_T5.0,2097327,0.029326375906093802,0.1330111026763916,0.32538819313049316,6.574265050421911,0.0
mountains/mountains_000827.png,61507,DCT_Q50,1494476,0.04115623134797748,4.947058200836182,6.143170595169067,30.18140731164246,0.9920360608937487
mountains/mountains_000053.png,32287,PNG_Lossless,139811,0.23093318837573582,0.10893678665161133,0.00012636184692382812,inf,1.0
mountains/mountains_000053.png,32287,JPEG_Q85,22383,1.4424786668453737,0.0007822513580322266,7.2479248046875e-05,43.53117259935226,0.9994994425471149
mountains/mountains_000053.png,32287,Haar_T5.0,2097327,0.015394356721674779,0.09740924835205078,0.2747633457183838,6.7116017149396,0.0
mountains/mountains_000053.png,32287,DCT_Q50,1222784,0.026404499895320843,4.06943154335022,4.921771049499512,35.90478477804317,0.9971237704943087
mountains/mountains_000339.png,90186,PNG_Lossless,286123,0.3152001062480122,0.07730507850646973,0.00016427040100097656,inf,1.0
