method,baseline_accuracy,compressed_accuracy,accuracy_loss,baseline_same_category,compressed_same_category,same_category_loss,search_time,total_queries
PNG_Lossless,0.8,0.4,0.4,0.5,0.34444444444444444,0.15555555555555556,0.0010516643524169922,10
JPEG_Q85,0.8,0.5,0.30000000000000004,0.5,0.32222222222222224,0.17777777777777776,0.0002663135528564453,10
Haar_T5.0,0.8,0.5,0.30000000000000004,0.5,0.36666666666666664,0.13333333333333336,0.0004456043243408203,10
DCT_Q50,0.8,0.6,0.20000000000000007,0.5,0.3,0.2,0.0006647109985351562,10
